name,party,office,id,gunControlDirect,gunRightsDirect,gunControlSupport,gunControlOpposed,gunRightsSupport,gunRightsOpposed,net,rank
"Romney, Mitt",R,S,UTS1,0,0,0,0,3283524,1909,3281615,1
"McSally, Martha",R,S,AZS1,0,413630,0,1823627,186011,0,2423268,2
"Cotton, Tom",R,S,ARS1,0,86270,0,861,1965941,0,2053072,3
"Tillis, Thom",R,S,NCS1,0,50700,0,861,1968468,0,2020029,4
"Portman, Rob",R,S,OHS2,0,111086,0,861,1453432,0,1565379,5
"Blunt, Roy",R,S,MOS1,0,153543,0,861,1410401,0,1564805,6
"Burr, Richard",R,S,NCS2,0,122150,0,861,1404945,0,1527956,7
"Gardner, Cory",R,S,COS2,0,104276,0,861,1328820,59935,1374022,8
"Toomey, Pat",R,S,PAS1,0,161410,0,152102,956630,1266,1268876,9
"Johnson, Ron",R,S,WIS2,0,191538,0,21354,1044306,0,1257198,10
"Ernst, Joni",R,S,IAS2,0,30475,0,745661,459405,0,1235541,11
"Rubio, Marco",R,S,FLS2,0,160944,0,861,1008030,0,1169835,12
"McConnell, Mitch",R,S,KYS1,0,164828,0,861,771175,315,936549,13
"Buck, Ken",R,H,CO04,0,89873,0,861,819667,0,910401,14
"Cassidy, Bill",R,S,LAS1,0,64353,0,342132,409201,0,815686,15
"Blackburn, Marsha",R,S,TNS1,0,136718,0,861,642427,0,780006,16
"Hawley, Josh",R,S,MOS2,0,59760,0,0,714696,0,774456,17
"Thune, John",R,S,SDS1,0,185815,0,861,579134,0,765810,18
"Roberts, Pat",R,S,KSS1,0,89750,0,861,663384,0,753995,19
"Cruz, Ted",R,S,TXS2,0,437815,0,8011,154504,0,600330,20
"Scott, Rick",R,S,FLS1,0,61752,0,526905,0,0,588657,21
"Hill, French",R,H,AR02,0,28100,0,861,541819,0,570780,22
"Young, Todd",R,S,INS2,0,87500,0,861,440645,0,529006,23
"Perdue, David",R,S,GAS1,0,34600,0,861,390904,0,426365,24
"Simpson, Mike",R,H,ID02,0,77083,0,861,342720,0,420664,25
"Grassley, Chuck",R,S,IAS1,0,102530,0,861,266356,3570,366177,26
"Young, Don",R,H,AK01,0,216188,0,861,147252,0,364301,27
"Shelby, Richard C",R,S,ALS2,0,106100,0,861,172614,0,279575,28
"Kennedy, John",R,S,LAS2,0,56750,0,861,205888,0,263499,29
"Cornyn, John",R,S,TXS1,0,236690,0,861,35745,12360,260936,30
"Diaz-Balart, Mario",R,H,FL25,0,40450,0,208560,4626,0,253636,31
"Budd, Ted",R,H,NC13,0,37125,0,861,195950,0,233936,32
"Smucker, Lloyd",R,H,PA11,0,14450,0,861,217283,0,232594,33
"Scalise, Steve",R,H,LA01,0,230358,0,861,0,0,231219,34
"Stauber, Pete",R,H,MN08,0,28825,0,0,193099,0,221924,35
"Paul, Rand",R,S,KYS2,0,115750,0,861,99955,0,216566,36
